team_id,school,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
163,Oregon,0,38.0029296875,11,0,0,0,10.97,9.12,20.09,52.9,0.72,10.73,3.82,6.34,2.26,8.35,3.02
164,Oregon State,0,16.69140625,3,5,0,0,-1.52,-2.88,-4.39,37.79,16.37,8.28,6.19,5.76,4.28,6.8,5.17
165,Penn State,0,38.1083984375,10,1,0,0,5.97,11.82,17.79,51.59,-2.17,11.31,3.89,6.61,1.92,8.58,2.81
166,Pennsylvania,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Pitt,1,0.0,0,0,0,0,4.42,0.77,5.19,47.89,8.98,8.62,5.36,5.66,1.77,7.3,3.53
168,Portland State,0,7.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Prairie View A&M,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Presbyterian,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Princeton,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Purdue,0,6.57470703125,0,11,0,0,-5.99,-1.09,-7.08,37.28,20.91,9.28,6.84,5.74,3.54,7.4,4.91
173,Rhode Island,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Rice,0,14.625,0,5,0,0,-6.03,-1.62,-7.64,36.38,11.66,7.7,4.56,5.81,2.82,6.77,3.81
175,Richmond,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Rober Morris,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Rutgers,0,33.890625,4,3,0,0,4.0,1.98,5.98,46.83,8.76,8.96,5.19,5.95,3.8,7.21,4.48
178,SE Louisiana,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,SMU,1,0.0,0,0,0,0,11.62,6.02,17.64,56.75,3.96,11.09,4.75,6.1,1.81,8.2,3.29
180,Sacremento State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Sacred Heart,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Sam Houston,0,19.609375,8,0,0,0,-4.72,2.12,-2.6,33.69,10.19,7.62,4.62,5.1,3.25,6.19,3.86
183,Samford,0,3.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,San Diego State,0,20.21875,0,8,0,0,-7.44,-5.62,-13.06,31.93,16.97,7.87,6.06,4.32,3.7,5.93,4.77
185,San Diego,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,San Jose State,0,26.982421875,6,3,0,0,0.71,-3.99,-3.28,39.48,15.31,9.27,5.59,4.13,2.78,7.22,4.19
187,South Alabama,0,35.125,4,0,0,0,1.76,-0.72,1.04,46.53,12.47,9.11,6.12,6.29,3.1,7.61,4.58
188,South Carolina,0,30.978515625,9,0,0,0,7.54,8.6,16.14,53.05,-2.08,10.54,4.54,5.95,1.51,7.69,2.98
189,South Carolina State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,South Dakota,0,6.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,South Dakota State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,South Florida,0,50.46484375,4,5,0,0,0.45,-2.69,-2.24,43.42,14.09,8.31,6.19,5.91,2.73,6.9,4.48
193,Southeast Missouri State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Southern Illinois,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Southern,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Southern Mississippi,0,15.220703125,0,11,0,0,-11.92,-6.89,-18.81,28.35,23.09,8.0,6.66,4.05,4.63,5.8,5.52
197,Southern Utah,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,St. Francis (PA),0,11.5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
